Date,AAPL.O
10/10/11,55.54423017
11/10/11,57.18422853
12/10/11,57.45565683
13/10/11,58.34708451
14/10/11,60.285654
17/10/11,59.99851143
18/10/11,60.31993968
19/10/11,56.94565734
20/10/11,56.47280067
21/10/11,56.12422959
24/10/11,57.96708489
25/10/11,56.82422889
26/10/11,57.2285142
27/10/11,57.81279933
28/10/11,57.84994215
31/10/11,57.82565646
1/11/11,56.64422907
2/11/11,56.77280037
3/11/11,57.58137099
4/11/11,57.17708568
7/11/11,57.10422861
8/11/11,58.03279911
9/11/11,56.46851496
10/11/11,55.03137354
11/11/11,54.94565934
14/11/11,54.17994582
15/11/11,55.54708731
16/11/11,54.96708789
17/11/11,53.91566037
18/11/11,53.56280358
21/11/11,52.71566157
22/11/11,53.78708907
23/11/11,52.42709043
24/11/11,
25/11/11,51.93851949
28/11/11,53.73137484
29/11/11,53.3142324
30/11/11,54.5999454
1/12/11,55.41851601
2/12/11,55.6713729
5/12/11,56.14422957
6/12/11,55.84994415
7/12/11,55.58423013
8/12/11,55.80851562
9/12/11,56.23137234
12/12/11,55.97708688
13/12/11,55.54423017
14/12/11,54.31280283
15/12/11,54.13423158
16/12/11,54.43137414
19/12/11,54.60137397
20/12/11,56.56422915
21/12/11,56.63494337
22/12/11,56.93565735
23/12/11,57.61851381
26/12/11,
27/12/11,58.07565621
28/12/11,57.51994248
29/12/11,57.87422784
30/12/11,57.857085
2/1/12,
3/1/12,58.74708411
4/1/12,59.06279808
5/1/12,59.71851171
6/1/12,60.3427968
9/1/12,60.24708261
10/1/12,60.46279668
11/1/12,60.36422535
12/1/12,60.19851123
13/1/12,59.97279717
16/1/12,
17/1/12,60.6713679
18/1/12,61.30136727
19/1/12,61.10708175
20/1/12,60.0427971
23/1/12,61.05836751
24/1/12,60.05851137
25/1/12,63.80850762
26/1/12,63.51850791
27/1/12,63.89707896
30/1/12,64.71564957
31/1/12,65.21136336
1/2/12,65.16993483
2/2/12,65.01707784
3/2/12,65.66850576
6/2/12,66.28136229
7/2/12,66.97564731
8/2/12,68.09707476
9/2/12,70.45278669
10/2/12,70.48850094
13/2/12,71.7999282
14/2/12,72.77992722
15/2/12,71.09564319
16/2/12,71.74421397
17/2/12,71.73135684
20/2/12,
21/2/12,73.54992645
22/2/12,73.29135528
23/2/12,73.76992623
24/2/12,74.62992537
27/2/12,75.10849632
28/2/12,76.48706637
29/2/12,77.49135108
1/3/12,77.78135079
2/3/12,77.88277926
5/3/12,76.16563812
6/3/12,75.75135282
7/3/12,75.81278133
8/3/12,77.42706543
9/3/12,77.88135069
12/3/12,78.857064
13/3/12,81.1570617
14/3/12,84.22563006
15/3/12,83.65134492
16/3/12,83.65277349
19/3/12,85.8713427
20/3/12,86.56562772
21/3/12,86.0713425
22/3/12,85.61991438
23/3/12,85.14991485
26/3/12,86.71134186
27/3/12,87.78276936
28/3/12,88.23134034
29/3/12,87.12277002
30/3/12,85.64991435
2/4/12,88.37562591
3/4/12,89.90276724
4/4/12,89.18705367
5/4/12,90.52562376
6/4/12,
9/4/12,90.88990911
10/4/12,89.77705308
11/4/12,89.4570534
12/4/12,88.96705389
13/4/12,86.46134211
16/4/12,82.87563141
17/4/12,87.0999129
18/4/12,86.90562738
19/4/12,83.91991608
20/4/12,81.85420386
23/4/12,81.6713469
24/4/12,80.03991996
25/4/12,87.14277
26/4/12,86.8141989
27/4/12,86.142771
30/4/12,83.42563086
1/5/12,83.16134541
2/5/12,83.71134486
3/5/12,83.11705974
4/5/12,80.74991925
7/5/12,81.35420436
8/5/12,81.16849026
9/5/12,81.31134726
10/5/12,81.50277564
11/5/12,80.95849047
14/5/12,79.74563454
15/5/12,79.02420669
16/5/12,78.01063628
17/5/12,75.73135284
18/5/12,75.76849566
21/5/12,80.18277696
22/5/12,79.56706329
23/5/12,81.50848992
24/5/12,80.75991924
25/5/12,80.32706253
28/5/12,
29/5/12,81.75277539
30/5/12,82.73848869
31/5/12,82.53277461
1/6/12,80.14134843
4/6/12,80.61277653
5/6/12,80.40420531
6/6/12,81.63706122
7/6/12,81.67420404
8/6/12,82.90277424
11/6/12,81.59563269
12/6/12,82.30848912
13/6/12,81.73706112
